[2026-03-17 22:14:12.186] [DEBUG] [app] worker=2 message=17 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.186] [DEBUG] [app] worker=3 message=12 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.186] [DEBUG] [app] worker=2 message=18 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.186] [DEBUG] [app] worker=3 message=13 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.186] [DEBUG] [app] worker=2 message=19 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.186] [DEBUG] [app] worker=1 message=13 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=20 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=21 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=22 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=23 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=24 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=3 message=14 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=2 message=25 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=30 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=31 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=32 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=33 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=34 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=35 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.187] [DEBUG] [app] worker=0 message=36 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=37 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=38 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=39 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=40 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=41 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=42 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=43 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=44 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
[2026-03-17 22:14:12.188] [DEBUG] [app] worker=0 message=45 (/home/volly/pico/hexapod/hexapod-server/src/hexapod-server.cpp:66, operator())
